codespace,commonname,taggingdate,seriesname,tagging_length_cm,eventid
A69-1303-58458,White Shark,12/14/2011,Tomales 2011,518,191105100
A69-1303-6165,White Shark,11/07/2015,Tomales 2015,427,191501100
A69-1303-6338,White Shark,09/19/2015,Tomales 2015,274,191500200
A69-1303-6347,White Shark,11/16/2014,Ano Nuevo 2014,488,191400700
A69-1303-6349,White Shark,12/02/2015,Ano Nuevo 2015,518,191501500
A69-1602-54050,White Shark,10/24/2020,Ano Nuevo 2020,396,192000500
A69-1602-54051,White Shark,11/12/2020,Ano Nuevo 2020,518,192000900
A69-1602-54057,White Shark,11/24/2020,Ano Nuevo 2020,366,192001000
A69-1602-58588,White Shark,11/12/2019,Ano Nuevo 2019,,191901000
A69-1602-58589,White Shark,11/12/2019,Ano Nuevo 2019,427,191900900
A69-1602-58590,White Shark,11/23/2019,Ano Nuevo 2019,335,191901800
A69-1602-58591,White Shark,01/15/2020,Ano Nuevo 2019,366,191901900
A69-1602-58593,White Shark,01/18/2020,Ano Nuevo 2019,335,191902000
A69-1602-58596,White Shark,11/07/2019,Ano Nuevo 2019,396,191900300
A69-1602-58597,White Shark,01/28/2020,Ano Nuevo 2019,411,191902100
A69-1602-58598,White Shark,11/11/2019,Ano Nuevo 2019,366,191901600
A69-9001-12053,White Shark,12/07/2017,Ano Nuevo 2017,427,191707200
A69-9001-12060,White Shark,12/18/2017,Ano Nuevo 2017,335,191707600
A69-9001-12062,White Shark,01/07/2018,Ano Nuevo 2017,396,191705900
A69-9001-12065,White Shark,11/20/2017,unknown,,191783300
A69-9001-12140,White Shark,11/07/2017,Ano Nuevo 2017,442,191706000
A69-9001-12141,White Shark,11/07/2017,Ano Nuevo 2017,335,191706100
A69-9001-12144,White Shark,11/10/2017,Ano Nuevo 2017,290,191706400
A69-9001-12145,White Shark,11/01/2017,Ano Nuevo 2017,457,191706500
A69-9001-12148,White Shark,09/23/2017,unknown,,191780800
A69-9001-12151,White Shark,09/23/2017,unknown,,191781100
A69-9001-12153,White Shark,01/29/2018,Ano Nuevo 2017,274,191708300
A69-9001-12159,White Shark,11/21/2017,Ano Nuevo 2017,427,191707000
A69-9001-55571,White Shark,11/04/2022,Ano Nuevo 2022,351,192200200
A69-9001-55574,White Shark,11/07/2022,Ano Nuevo 2022,,192201600
A69-9001-55582,White Shark,11/05/2022,Ano Nuevo 2022,381,192200400
A69-9001-55586,White Shark,11/21/2022,Ano Nuevo 2022,366,192202400
A69-9001-55589,White Shark,12/15/2022,Ano Nuevo 2022,305,192202600
