Transmitter,animal_short_name,Transmitter_SN,tag_family,capture_method,tag_lat,tag_lon,tag_location,sex,est_tag_expiry_date,Owner,standard_length_cm,disk_length,SciName,TNL_cm,when_encountered,last_detection,first_detection,number_of_detections,Tagging_Date,FL
A69-9001-22778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galeorhinus galeus,NA,NA,2023-05-26T00:21:43Z,2017-05-10T17:06:26Z,1620,NA,NA
A69-9001-24655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galeorhinus galeus,NA,NA,2021-05-22T21:18:53Z,2015-11-09T09:21:42Z,1274,NA,NA
A69-9001-22774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galeorhinus galeus,NA,NA,2021-07-18T00:59:31Z,2017-05-21T21:57:58Z,1222,NA,NA
A69-9001-22777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galeorhinus galeus,NA,NA,2020-01-14T07:42:13Z,2017-06-20T07:46:17Z,651,NA,NA
A69-9001-24596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galeorhinus galeus,NA,NA,2019-08-11T12:46:56Z,2016-07-20T19:36:13Z,594,NA,NA
A69-9001-24661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galeorhinus galeus,NA,NA,2016-08-11T09:57:42Z,2015-07-10T15:01:28Z,581,NA,NA
A69-9001-24665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galeorhinus galeus,NA,NA,2022-08-18T01:07:44Z,2016-10-01T05:41:42Z,485,NA,NA
A69-9001-22770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galeorhinus galeus,NA,NA,2019-08-07T02:34:09Z,2017-01-26T13:22:13Z,401,NA,NA
A69-9001-26872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galeorhinus galeus,NA,NA,2017-05-10T06:04:37Z,2014-05-06T12:45:50Z,249,NA,NA
A69-9001-26873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galeorhinus galeus,NA,NA,2017-04-01T02:52:14Z,2015-04-23T09:44:02Z,242,NA,NA
A69-9001-26871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galeorhinus galeus,NA,NA,2016-07-31T14:03:10Z,2015-06-30T20:13:21Z,186,NA,NA
A69-9001-22769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galeorhinus galeus,NA,NA,2021-03-30T02:13:36Z,2021-02-04T07:20:35Z,180,NA,NA
A69-9001-26868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galeorhinus galeus,NA,NA,2015-11-15T06:28:48Z,2014-10-31T08:29:47Z,80,NA,NA
A69-9001-22779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galeorhinus galeus,NA,NA,2019-01-01T11:47:19Z,2017-05-31T09:21:53Z,70,NA,NA
A69-9001-24586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galeorhinus galeus,NA,NA,2019-06-08T01:33:38Z,2016-04-29T00:42:43Z,60,NA,NA
A69-9001-24667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galeorhinus galeus,NA,NA,2015-03-07T04:14:01Z,2014-11-24T00:39:09Z,55,NA,NA
A69-9001-24584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galeorhinus galeus,NA,NA,2016-08-16T18:47:36Z,2015-11-19T00:34:09Z,45,NA,NA
A69-9001-24663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galeorhinus galeus,NA,NA,2018-07-25T10:18:27Z,2015-07-10T08:33:06Z,41,NA,NA
A69-9001-22780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galeorhinus galeus,NA,NA,2021-10-30T08:15:01Z,2021-10-28T14:14:46Z,22,NA,NA
A69-9001-26864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galeorhinus galeus,NA,NA,2015-06-28T16:00:27Z,2013-12-17T18:45:08Z,22,NA,NA
A69-9001-24598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galeorhinus galeus,NA,NA,2022-03-10T11:18:09Z,2019-06-02T18:19:52Z,6,NA,NA
A69-9001-26866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galeorhinus galeus,NA,NA,2014-09-02T19:38:57Z,2014-06-17T18:22:54Z,5,NA,NA
A69-9001-26867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galeorhinus galeus,NA,NA,2016-04-14T07:51:26Z,2014-04-26T07:40:13Z,5,NA,NA
