"","Station.Name","Detections","Longitude","Latitude","Island"
"1","WCO_Cuyler",14812,-120.34552,34.05695,"San Miguel"
"2","WCO_Tyler Bight",11507,-120.33106,34.01592,"San Miguel"
"3","WCO_Johnson's Lee",36959,-120.12787,33.8958,"Santa Rosa"
"4","WCO_Carrington Point",8708,-120.0829,34.02515,"Santa Rosa"
"5","WCO_Trailers",13473,-119.91005,34.05095,"Santa Cruz"
"6","WCO_MorsePoint",9861,-119.85468,33.96657,"Santa Cruz"
"7","WCO_Hazards_Profile",7349,-119.84155,34.06613,"Santa Cruz"
"8","WCO_Mohawk LTER",14,-119.73,34.39433,"Mainland"
"9","WCO_Pelican",5036,-119.69667,34.03068,"Santa Cruz"
"10","WCO_Valley",7882,-119.66998,33.97822,"Santa Cruz"
"11","WCO_Scorpion",41050,-119.55995,34.05487,"Santa Cruz"
"12","WCO_Carpinteria",9441,-119.5399,34.39015,"Mainland"
"13","WCO_Smugglers",20654,-119.53817,34.01188,"Santa Cruz"
"14","WCO_Winfield Scott",40724,-119.39558,34.00868,"Anacapa"
"15","WCO_Anacapa South",62196,-119.36802,34.01028,"Anacapa"
"16","WCO_WR_W",10,-119.0686,33.49152,"Santa Barbara"
"17","WCO_UW_Arch",24,-119.06325,33.48115,"Santa Barbara"
"18","WCO_WR_C",14156,-119.05918,33.48881,"Santa Barbara"
"19","WCO_Sutil",17,-119.05296,33.46333,"Santa Barbara"
"20","WCO_WR_E",41,-119.05283,33.49324,"Santa Barbara"
"21","WCO_SB_4",456,-119.04978,33.48554,"Santa Barbara"
"22","WCO_SB_5",36315,-119.04763,33.476,"Santa Barbara"
"23","WCO_SB_6",910,-119.04572,33.468,"Santa Barbara"
"24","SB-7",3,-119.04183,33.46367,"Santa Barbara"
"25","WCO_SB_7",69960,-119.04183,33.464,"Santa Barbara"
"26","WCO_SB_3",25430,-119.04055,33.487,"Santa Barbara"
"27","SB-8",3,-119.0348,33.46065,"Santa Barbara"
"28","WCO_SB_8",17366,-119.0348,33.461,"Santa Barbara"
"29","WCO_SB_2",24642,-119.03167,33.49052,"Santa Barbara"
"30","WCO_MPA_Corner",2518,-119.0276,33.46488,"Santa Barbara"
"31","WCO_SB_9",23657,-119.02602,33.471,"Santa Barbara"
"32","WCO_SB_1",8964,-119.025,33.488,"Santa Barbara"
"33","WCO_SB_9_5",104428,-119.02422,33.4777,"Santa Barbara"
"34","SB-10",1,-119.0228,33.48382,"Santa Barbara"
"35","WCO_SB_10",170419,-119.0228,33.484,"Santa Barbara"
"36","WCO_Mound_Inshore",19015,-119.0193,33.4879,"Santa Barbara"
"37","WCO_Mound_Offshore",14603,-119.0168,33.4876,"Santa Barbara"
